,property_name,bedroom,bathroom,configuration,area,area_type,facing,age_possession,property_type,price_cr,sector_encoded,Luxury_category,Floor_category
2185,Sector 40,3,3,3,900.0,Built-up,North-East,RESALE,House,3.75,6.006,Low,Low Floor
2186,Sector 46,7,7,7,1449.0,Built-up,North-East,RESALE,House,6.25,10.24962962962963,Low,Mid Floor
2187,Sector 46,6,6,6,1449.0,Built-up,North-East,RESALE,House,5.5,10.24962962962963,Low,Low Floor
2188,Nirvana Country,4,4,4,2160.0,Super Built-up,North-East,RESALE,House,10.75,9.31625,Low,Low Floor
2189,"Block C, Sushant Lok Phase 1",5,5,5,5500.0,Super Built-up,North,RESALE,House,10.5,8.013333333333334,Low,Low Floor
2190,Palam Vihar,3,3,3,2430.0,Super Built-up,Unknown,RESALE,House,5.85,6.513333333333333,Low,Low Floor
2191,Huda,9,9,9,1800.0,Super Built-up,Unknown,RESALE,House,7.0,8.33,Medium,Low Floor
2192,Sector 40,7,7,7,1449.0,Super Built-up,Unknown,RESALE,House,4.99,6.006,Medium,Low Floor
2193,Sushant Lok Phase 1,5,6,5,7317.0,Super Built-up,East,RESALE,House,25.0,12.1676,Low,Low Floor
2194,Sushant Lok Phase 3,12,12,12,4520.0,Super Built-up,North-East,RESALE,House,14.0,9.74,Low,Low Floor
2195,Sector 4,5,5,5,4518.0,Super Built-up,Unknown,RESALE,House,6.9,5.183333333333334,Medium,Low Floor
2196,"Block C, Sushant Lok Phase 1",4,4,4,3762.0,Super Built-up,East,RESALE,House,11.0,8.013333333333334,Low,Low Floor
2197,"Block C, Sushant Lok Phase 1",6,6,6,1935.0,Covered,Unknown,RESALE,House,9.5,8.013333333333334,Medium,Low Floor
2198,"Block C, Sushant Lok Phase 1",6,6,6,1935.0,Super Built-up,East,RESALE,House,8.25,8.013333333333334,Medium,Low Floor
2199,Block C South city 1,17,18,17,360.0,Covered,North-East,RESALE,House,9.5,12.420000000000002,Medium,Low Floor
2200,DLF Phase 4,5,5,5,3240.0,Super Built-up,Unknown,RESALE,House,11.5,14.622,Low,Low Floor
2201,Sector-5 Sohna,3,3,3,1340.0,Super Built-up,East,RESALE,House,1.5,1.5,High,Low Floor
